Primary Topic Id,,
name,count,
Plasmonics for Photovoltaic Devices,41,
Wearable Nanogenerator Technology,21,
Ferroelectric Devices for Low-Power Nanoscale Applications,12,
Lead-free Piezoelectric Materials,6,
Atomic Layer Deposition Technology,3,
Nanoelectronics and Transistors,3,
Organic Solar Cell Technology,1,
Zinc Oxide Nanostructures,1,
Perovskite Solar Cell Technology,1,
Power Electronics Technology,1,
Low-Power VLSI Circuit Design and Optimization,1,
Advances in Lead-free Soldering for Microelectronics,1,
Gas Sensing Technology and Materials,1,
Memristive Devices for Neuromorphic Computing,1,
Conducting Polymer Research,1,
Biomedical Optical Imaging and Spectroscopy,1,
Non-contact Physiological Monitoring Technology,1,
Synthesis and Applications of Carbon Quantum Dots,1,
Wireless Energy Harvesting and Information Transfer,1,
Electromagnetic Compatibility in Electronics,1,
Science of Clothing Comfort and Textile Properties,1,
Physics and Chemistry of Schottky Barrier Height,1,
Impact of Big Data Analytics on Business Performance,1,
Power Line Communications in Smart Grid,1,
Nanoscale Lithographic Patterning Techniques,1,
Optogenetics in Neuroscience and Biophysics Research,1,
Development and Impact of Astronomy Throughout History,1,
Architectural Geometry and Artistic Representation,1,
