component,component_number,variance_explained,feature,loading,loading_type,rank
PC1,1,0.04357200672224485,curriculum,0.12230356571549018,positive,1
PC1,1,0.04357200672224485,goals,0.10509306165557722,positive,2
PC1,1,0.04357200672224485,needs,0.09026683759516971,positive,3
PC1,1,0.04357200672224485,challenges,0.08964484534458024,positive,4
PC1,1,0.04357200672224485,want,0.08633464604881295,positive,5
PC1,1,0.04357200672224485,specific,0.08587663480408053,positive,6
PC1,1,0.04357200672224485,background current,0.08507107897928337,positive,7
PC1,1,0.04357200672224485,provide,0.08500799726719838,positive,8
PC1,1,0.04357200672224485,learning needs,0.08416604307786227,positive,9
PC1,1,0.04357200672224485,details,0.08250824574509631,positive,10
PC1,1,0.04357200672224485,truly,0.07783108452141951,positive,11
PC1,1,0.04357200672224485,value,0.07731663089892293,positive,12
PC1,1,0.04357200672224485,provide details,0.07643238297323857,positive,13
PC1,1,0.04357200672224485,personalized,0.07607340909278379,positive,14
PC1,1,0.04357200672224485,learning,0.0747529856481515,positive,15
PC1,1,0.04357200672224485,truly personalized,0.07389079944431849,positive,16
PC1,1,0.04357200672224485,create truly,0.07278808009074927,positive,17
PC1,1,0.04357200672224485,desired,0.07173611124536695,positive,18
PC1,1,0.04357200672224485,effective,0.07115638964415799,positive,19
PC1,1,0.04357200672224485,current,0.07017136954914911,positive,20
PC1,1,0.04357200672224485,https,-0.09923063364878669,negative,1
PC1,1,0.04357200672224485,scholar,-0.07412729128028657,negative,2
PC1,1,0.04357200672224485,google,-0.07333848573946682,negative,3
PC1,1,0.04357200672224485,orcid,-0.0727130903127999,negative,4
PC1,1,0.04357200672224485,com,-0.06948846146210856,negative,5
PC1,1,0.04357200672224485,google scholar,-0.06803703294987176,negative,6
PC1,1,0.04357200672224485,university,-0.06545221573126843,negative,7
PC1,1,0.04357200672224485,www,-0.06536038696807006,negative,8
PC1,1,0.04357200672224485,https www,-0.06423347120908039,negative,9
PC1,1,0.04357200672224485,publications,-0.06182927878988182,negative,10
PC1,1,0.04357200672224485,neuroscience,-0.060425384449821214,negative,11
PC1,1,0.04357200672224485,org,-0.05932702056493365,negative,12
PC1,1,0.04357200672224485,search,-0.059281798976744446,negative,13
PC1,1,0.04357200672224485,institutional,-0.05836601371696817,negative,14
PC1,1,0.04357200672224485,direct,-0.05665526701093026,negative,15
PC1,1,0.04357200672224485,researchgate,-0.05620851687738529,negative,16
PC1,1,0.04357200672224485,publicly,-0.0556576716784441,negative,17
PC1,1,0.04357200672224485,profiles,-0.05311452480445826,negative,18
PC1,1,0.04357200672224485,linkedin,-0.05304130761003419,negative,19
PC1,1,0.04357200672224485,conference,-0.052482441889186875,negative,20
PC2,2,0.034170091904939005,implementation,0.13739126613979322,positive,1
PC2,2,0.034170091904939005,months,0.10756924440247857,positive,2
PC2,2,0.034170091904939005,term,0.1056569023859596,positive,3
PC2,2,0.034170091904939005,tools,0.0817551500244067,positive,4
PC2,2,0.034170091904939005,strong,0.07937558007325136,positive,5
PC2,2,0.034170091904939005,practical implementation,0.07863521116856366,positive,6
PC2,2,0.034170091904939005,basic,0.07735410940399007,positive,7
PC2,2,0.034170091904939005,foundations,0.07601779633461209,positive,8
PC2,2,0.034170091904939005,assessment,0.07574328066275092,positive,9
PC2,2,0.034170091904939005,development,0.0749651515501695,positive,10
PC2,2,0.034170091904939005,practical,0.07477090145852093,positive,11
PC2,2,0.034170091904939005,advanced,0.07296031853925752,positive,12
PC2,2,0.034170091904939005,term months,0.07257707365546064,positive,13
PC2,2,0.034170091904939005,develop,0.06791441822566857,positive,14
PC2,2,0.034170091904939005,integration,0.0679032435347984,positive,15
PC2,2,0.034170091904939005,build,0.06676020475215538,positive,16
PC2,2,0.034170091904939005,building,0.06454017426272098,positive,17
PC2,2,0.034170091904939005,practical applications,0.06207515170959161,positive,18
PC2,2,0.034170091904939005,roadmap short,0.06003781666209875,positive,19
PC2,2,0.034170091904939005,medium term,0.0599361683387685,positive,20
PC2,2,0.034170091904939005,provide,-0.0787753811316922,negative,1
PC2,2,0.034170091904939005,search,-0.0707451540166343,negative,2
