Primary Topic Id,,
name,count,
Lipid Rafts and Membrane Dynamics,11,
Accelerating Materials Innovation through Informatics,7,
Nanoparticle-Based Drug Delivery Systems,4,
Nanofluidics and Nanopore Technology,4,
Hydrogels in Biomedical Applications and Tissue Engineering,2,
Phase Transitions and Critical Phenomena,2,
Bacterial Biofilms and Quorum Sensing Mechanisms,2,
Carbon Nanotubes and their Applications,1,
Superhydrophobic Surface Technology,1,
Dynamics and Transitions in Glassy Materials,1,
Mechanisms and Applications of RNA Interference,1,
Chiral Separation in Chromatography,1,
Antimicrobial Peptides in Host Defense and Therapy,1,
Molecular Characterization of Colorectal Cancer,1,
Self-Assembly and Biomaterial Design,1,
Computational Chemistry and Polymer Physics,1,
